Comunidades;Anio;Sexo;Edad;Numero_Condenados
Total;2019;Total;Total;286931
Total;2018;Total;Total;286637
Total;2017;Total;Total;285336
Total;2016;Total;Total;271526
Total;2015;Total;Total;222862
Total;2014;Total;Total;218827
Total;2013;Total;Total;219776
Total;2019;Total;18_20_anios;23937
Total;2018;Total;18_20_anios;24683
Total;2017;Total;18_20_anios;25485
Total;2016;Total;18_20_anios;23945
Total;2015;Total;18_20_anios;19244
Total;2014;Total;18_20_anios;18543
Total;2013;Total;18_20_anios;18508
Total;2019;Total;21_25_anios;39262
Total;2018;Total;21_25_anios;40274
Total;2017;Total;21_25_anios;40823
Total;2016;Total;21_25_anios;39862
Total;2015;Total;21_25_anios;33504
Total;2014;Total;21_25_anios;33619
Total;2013;Total;21_25_anios;34000
Total;2019;Total;26_30_anios;39248
Total;2018;Total;26_30_anios;39776
Total;2017;Total;26_30_anios;40099
Total;2016;Total;26_30_anios;39491
Total;2015;Total;26_30_anios;33315
Total;2014;Total;26_30_anios;33519
Total;2013;Total;26_30_anios;34711
Total;2019;Total;31_35_anios;39468
Total;2018;Total;31_35_anios;40414
Total;2017;Total;31_35_anios;40492
Total;2016;Total;31_35_anios;39552
Total;2015;Total;31_35_anios;33901
Total;2014;Total;31_35_anios;34607
Total;2013;Total;31_35_anios;35031
Total;2019;Total;36_40_anios;39854
Total;2018;Total;36_40_anios;39877
Total;2017;Total;36_40_anios;39678
Total;2016;Total;36_40_anios;37472
Total;2015;Total;36_40_anios;31618
Total;2014;Total;36_40_anios;30756
Total;2013;Total;36_40_anios;30830
Total;2019;Total;41_50_anios;61359
Total;2018;Total;41_50_anios;60386
Total;2017;Total;41_50_anios;58749
Total;2016;Total;41_50_anios;55459
Total;2015;Total;41_50_anios;44908
Total;2014;Total;41_50_anios;43427
Total;2013;Total;41_50_anios;43147
Total;2019;Total;51_60_anios;30100
Total;2018;Total;51_60_anios;28531
Total;2017;Total;51_60_anios;27609
Total;2016;Total;51_60_anios;24948
Total;2015;Total;51_60_anios;19089
Total;2014;Total;51_60_anios;17866
Total;2013;Total;51_60_anios;17254
Total;2019;Total;61_70_anios;10365
Total;2018;Total;61_70_anios;9546
Total;2017;Total;61_70_anios;9371
Total;2016;Total;61_70_anios;8178
Total;2015;Total;61_70_anios;5737
Total;2014;Total;61_70_anios;5162
Total;2013;Total;61_70_anios;5025
Total;2019;Total;mayor_70_anios;3338
Total;2018;Total;mayor_70_anios;3150
Total;2017;Total;mayor_70_anios;3030
Total;2016;Total;mayor_70_anios;2619
Total;2015;Total;mayor_70_anios;1546
Total;2014;Total;mayor_70_anios;1328
Total;2013;Total;mayor_70_anios;1270
Total;2019;Hombres;Total;227722
