Comunidades;Anio;PIB;Gasto;Numero_Parados;Numero_habitantes;Tasa_Paro;Inferior_2_etapa_Secundaria;2_etapa_Secundaria;Educacion_Superior;Tipo_Delito;Numero_Delitos;Tasa_Delitos
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Concurso de delitos;1401.0;0.01936
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Contra el orden público;791.0;0.010931
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Contra el patrimonio y el orden socioeconomico;9768.0;0.134983
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Contra la Administración de Justicia;823.0;0.011373
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Contra la libertad;266.0;0.003676
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Contra la seguridad colectiva;7373.0;0.101887
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Lesiones;715.0;0.009881
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Otros delitos;1148.0;0.015864
Andalucia;1998;9976.19;4537.24;838200;7236459.0;11.58;;;;Total;22285.0;0.307954
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Concurso de delitos;1275.0;0.017454
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Contra el orden público;682.0;0.009336
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Contra el patrimonio y el orden socioeconomico;8652.0;0.118438
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Contra la Administración de Justicia;512.0;0.007009
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Contra la libertad;274.0;0.003751
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Contra la seguridad colectiva;7386.0;0.101107
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Lesiones;740.0;0.01013
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Otros delitos;1131.0;0.015482
Andalucia;1999;10596.02;4985.71;776100;7305117.0;10.62;;;;Total;20652.0;0.282706
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Concurso de delitos;1257.0;0.017125
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Contra el orden público;743.0;0.010123
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Contra el patrimonio y el orden socioeconomico;8049.0;0.109659
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Contra la Administración de Justicia;480.0;0.006539
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Contra la libertad;333.0;0.004537
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Contra la seguridad colectiva;7227.0;0.09846
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Lesiones;784.0;0.010681
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Otros delitos;1052.0;0.014332
Andalucia;2000;11528.57;5386.42;726700;7340052.0;9.9;;;;Total;19925.0;0.271456
Andalucia;2001;12352.87;6053.16;554175;7403968.0;7.48;;;;Concurso de delitos;1485.0;0.020057
Andalucia;2001;12352.87;6053.16;554175;7403968.0;7.48;;;;Contra el orden público;857.0;0.011575
Andalucia;2001;12352.87;6053.16;554175;7403968.0;7.48;;;;Contra el patrimonio y el orden socioeconomico;7868.0;0.106267
Andalucia;2001;12352.87;6053.16;554175;7403968.0;7.48;;;;Contra la Administración de Justicia;562.0;0.007591
Andalucia;2001;12352.87;6053.16;554175;7403968.0;7.48;;;;Contra la libertad;333.0;0.004498
