Comunidades autónomas;Tipo de delito;Total
Andalucía;Total;19.925
Andalucía;Homicidio y formas;86
Andalucía;Del Aborto;0
Andalucía;De las lesiones;782
Andalucía;De las lesiones al feto;2
Andalucía;Relativos a la manipulación genetica;0
Andalucía;Contra la libertad;141
Andalucía;De las torturas y otros delitos contra la integirdad moral;0
Andalucía;Contra la libertad e indemnidad sexuales;192
Andalucía;De la omisión del deber de socorro;2
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;8
Andalucía;Contra el honor;2
Andalucía;Contra las relaciones familiares;316
Andalucía;Contra el patrimonio y el orden socioeconomico;8.049
Andalucía;Contra la hacienda publica y la Seg.social;49
Andalucía;Contra los derechos de los trabajadores;63
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;39
Andalucía;Contra la seguridad colectiva;7.227
Andalucía;De las falsedades;337
Andalucía;Contra la Administración Pública;31
Andalucía;Contra la administración de justicia;480
Andalucía;Contra la Constitución;62
Andalucía;Contra el orden público;743
Andalucía;delitos de traición y contra la paz o independencia;1
Andalucía;Contra la comunidad internacional;0
Andalucía;Concurso de delitos;1.257
Andalucía;No consta;56
Aragón;Total;2.099
Aragón;Homicidio y formas;16
Aragón;Del Aborto;0
Aragón;De las lesiones;152
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genetica;0
Aragón;Contra la libertad;28
Aragón;De las torturas y otros delitos contra la integirdad moral;0
Aragón;Contra la libertad e indemnidad sexuales;21
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Aragón;Contra el honor;1
Aragón;Contra las relaciones familiares;72
Aragón;Contra el patrimonio y el orden socioeconomico;706
Aragón;Contra la hacienda publica y la Seg.social;2
Aragón;Contra los derechos de los trabajadores;0
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;8
Aragón;Contra la seguridad colectiva;648
Aragón;De las falsedades;62
Aragón;Contra la Administración Pública;7
Aragón;Contra la administración de justicia;70
Aragón;Contra la Constitución;48
Aragón;Contra el orden público;90
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;163
Aragón;No consta;5
Asturias;Total;3.083
Asturias;Homicidio y formas;15
Asturias;Del Aborto;0
Asturias;De las lesiones;181
Asturias;De las lesiones al feto;0
Asturias;Relativos a la manipulación genetica;0
Asturias;Contra la libertad;12
Asturias;De las torturas y otros delitos contra la integirdad moral;3
Asturias;Contra la libertad e indemnidad sexuales;29
Asturias;De la omisión del deber de socorro;1
Asturias;Contra la intimidad, derecho a la propia imagen e inviolabil;3
Asturias;Contra el honor;4
Asturias;Contra las relaciones familiares;78
Asturias;Contra el patrimonio y el orden socioeconomico;1.074
Asturias;Contra la hacienda publica y la Seg.social;5
Asturias;Contra los derechos de los trabajadores;1
Asturias;Relativos a la ord. territorio y protección pat. y medio amb;4
Asturias;Contra la seguridad colectiva;1.072
Asturias;De las falsedades;41
Asturias;Contra la Administración Pública;9
Asturias;Contra la administración de justicia;115
Asturias;Contra la Constitución;27
Asturias;Contra el orden público;133
Asturias;delitos de traición y contra la paz o independencia;0
Asturias;Contra la comunidad internacional;0
Asturias;Concurso de delitos;270
Asturias;No consta;6
Baleares (Illes);Total;2.604
Baleares (Illes);Homicidio y formas;18
Baleares (Illes);Del Aborto;0
Baleares (Illes);De las lesiones;74
Baleares (Illes);De las lesiones al feto;0
Baleares (Illes);Relativos a la manipulación genetica;0
Baleares (Illes);Contra la libertad;25
Baleares (Illes);De las torturas y otros delitos contra la integirdad moral;0
Baleares (Illes);Contra la libertad e indemnidad sexuales;25
Baleares (Illes);De la omisión del deber de socorro;0
Baleares (Illes);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Baleares (Illes);Contra el honor;1
Baleares (Illes);Contra las relaciones familiares;53
Baleares (Illes);Contra el patrimonio y el orden socioeconomico;1.049
Baleares (Illes);Contra la hacienda publica y la Seg.social;5
Baleares (Illes);Contra los derechos de los trabajadores;0
Baleares (Illes);Relativos a la ord. territorio y protección pat. y medio amb;2
Baleares (Illes);Contra la seguridad colectiva;989
Baleares (Illes);De las falsedades;55
Baleares (Illes);Contra la Administración Pública;3
Baleares (Illes);Contra la administración de justicia;48
Baleares (Illes);Contra la Constitución;7
Baleares (Illes);Contra el orden público;45
Baleares (Illes);delitos de traición y contra la paz o independencia;0
Baleares (Illes);Contra la comunidad internacional;0
Baleares (Illes);Concurso de delitos;198
Baleares (Illes);No consta;7
Canarias;Total;3.153
Canarias;Homicidio y formas;20
Canarias;Del Aborto;0
Canarias;De las lesiones;97
Canarias;De las lesiones al feto;1
Canarias;Relativos a la manipulación genetica;0
Canarias;Contra la libertad;12
Canarias;De las torturas y otros delitos contra la integirdad moral;3
Canarias;Contra la libertad e indemnidad sexuales;53
Canarias;De la omisión del deber de socorro;0
Canarias;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Canarias;Contra el honor;0
Canarias;Contra las relaciones familiares;75
Canarias;Contra el patrimonio y el orden socioeconomico;1.457
Canarias;Contra la hacienda publica y la Seg.social;0
Canarias;Contra los derechos de los trabajadores;15
Canarias;Relativos a la ord. territorio y protección pat. y medio amb;4
Canarias;Contra la seguridad colectiva;942
Canarias;De las falsedades;74
Canarias;Contra la Administración Pública;8
Canarias;Contra la administración de justicia;87
Canarias;Contra la Constitución;3
Canarias;Contra el orden público;75
Canarias;delitos de traición y contra la paz o independencia;0
Canarias;Contra la comunidad internacional;0
Canarias;Concurso de delitos;223
Canarias;No consta;3
Cantabria;Total;1.137
Cantabria;Homicidio y formas;4
Cantabria;Del Aborto;0
Cantabria;De las lesiones;84
Cantabria;De las lesiones al feto;3
Cantabria;Relativos a la manipulación genetica;0
Cantabria;Contra la libertad;2
Cantabria;De las torturas y otros delitos contra la integirdad moral;0
Cantabria;Contra la libertad e indemnidad sexuales;10
Cantabria;De la omisión del deber de socorro;0
Cantabria;Contra la intimidad, derecho a la propia imagen e inviolabil;1
Cantabria;Contra el honor;0
Cantabria;Contra las relaciones familiares;22
Cantabria;Contra el patrimonio y el orden socioeconomico;408
Cantabria;Contra la hacienda publica y la Seg.social;4
Cantabria;Contra los derechos de los trabajadores;0
Cantabria;Relativos a la ord. territorio y protección pat. y medio amb;0
Cantabria;Contra la seguridad colectiva;384
Cantabria;De las falsedades;32
Cantabria;Contra la Administración Pública;2
Cantabria;Contra la administración de justicia;40
Cantabria;Contra la Constitución;26
Cantabria;Contra el orden público;25
Cantabria;delitos de traición y contra la paz o independencia;0
Cantabria;Contra la comunidad internacional;0
Cantabria;Concurso de delitos;89
Cantabria;No consta;1
Castilla y León;Total;5.218
Castilla y León;Homicidio y formas;42
Castilla y León;Del Aborto;0
Castilla y León;De las lesiones;363
Castilla y León;De las lesiones al feto;1
Castilla y León;Relativos a la manipulación genetica;0
Castilla y León;Contra la libertad;41
Castilla y León;De las torturas y otros delitos contra la integirdad moral;6
Castilla y León;Contra la libertad e indemnidad sexuales;61
Castilla y León;De la omisión del deber de socorro;3
Castilla y León;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Castilla y León;Contra el honor;2
Castilla y León;Contra las relaciones familiares;105
Castilla y León;Contra el patrimonio y el orden socioeconomico;1.745
Castilla y León;Contra la hacienda publica y la Seg.social;6
Castilla y León;Contra los derechos de los trabajadores;1
Castilla y León;Relativos a la ord. territorio y protección pat. y medio amb;8
Castilla y León;Contra la seguridad colectiva;1.804
Castilla y León;De las falsedades;162
Castilla y León;Contra la Administración Pública;15
Castilla y León;Contra la administración de justicia;229
Castilla y León;Contra la Constitución;29
Castilla y León;Contra el orden público;203
Castilla y León;delitos de traición y contra la paz o independencia;0
Castilla y León;Contra la comunidad internacional;0
Castilla y León;Concurso de delitos;365
Castilla y León;No consta;23
Castilla-La Mancha;Total;4.460
Castilla-La Mancha;Homicidio y formas;17
Castilla-La Mancha;Del Aborto;0
Castilla-La Mancha;De las lesiones;344
Castilla-La Mancha;De las lesiones al feto;1
Castilla-La Mancha;Relativos a la manipulación genetica;0
Castilla-La Mancha;Contra la libertad;39
Castilla-La Mancha;De las torturas y otros delitos contra la integirdad moral;0
Castilla-La Mancha;Contra la libertad e indemnidad sexuales;58
Castilla-La Mancha;De la omisión del deber de socorro;3
Castilla-La Mancha;Contra la intimidad, derecho a la propia imagen e inviolabil;20
Castilla-La Mancha;Contra el honor;1
Castilla-La Mancha;Contra las relaciones familiares;117
Castilla-La Mancha;Contra el patrimonio y el orden socioeconomico;1.585
Castilla-La Mancha;Contra la hacienda publica y la Seg.social;2
Castilla-La Mancha;Contra los derechos de los trabajadores;5
Castilla-La Mancha;Relativos a la ord. territorio y protección pat. y medio amb;6
Castilla-La Mancha;Contra la seguridad colectiva;1.528
Castilla-La Mancha;De las falsedades;109
Castilla-La Mancha;Contra la Administración Pública;6
Castilla-La Mancha;Contra la administración de justicia;189
Castilla-La Mancha;Contra la Constitución;5
Castilla-La Mancha;Contra el orden público;176
Castilla-La Mancha;delitos de traición y contra la paz o independencia;0
Castilla-La Mancha;Contra la comunidad internacional;0
Castilla-La Mancha;Concurso de delitos;234
Castilla-La Mancha;No consta;15
Cataluña;Total;15.169
Cataluña;Homicidio y formas;43
Cataluña;Del Aborto;1
Cataluña;De las lesiones;538
Cataluña;De las lesiones al feto;0
Cataluña;Relativos a la manipulación genetica;0
Cataluña;Contra la libertad;116
Cataluña;De las torturas y otros delitos contra la integirdad moral;0
Cataluña;Contra la libertad e indemnidad sexuales;170
Cataluña;De la omisión del deber de socorro;2
Cataluña;Contra la intimidad, derecho a la propia imagen e inviolabil;7
Cataluña;Contra el honor;9
Cataluña;Contra las relaciones familiares;352
Cataluña;Contra el patrimonio y el orden socioeconomico;6.494
Cataluña;Contra la hacienda publica y la Seg.social;31
Cataluña;Contra los derechos de los trabajadores;12
Cataluña;Relativos a la ord. territorio y protección pat. y medio amb;13
Cataluña;Contra la seguridad colectiva;4.806
Cataluña;De las falsedades;412
Cataluña;Contra la Administración Pública;21
Cataluña;Contra la administración de justicia;450
Cataluña;Contra la Constitución;69
Cataluña;Contra el orden público;437
Cataluña;delitos de traición y contra la paz o independencia;2
Cataluña;Contra la comunidad internacional;0
Cataluña;Concurso de delitos;1.135
Cataluña;No consta;49
Comunidad Valenciana;Total;10.571
Comunidad Valenciana;Homicidio y formas;34
Comunidad Valenciana;Del Aborto;1
Comunidad Valenciana;De las lesiones;304
Comunidad Valenciana;De las lesiones al feto;0
Comunidad Valenciana;Relativos a la manipulación genetica;1
Comunidad Valenciana;Contra la libertad;39
Comunidad Valenciana;De las torturas y otros delitos contra la integirdad moral;5
Comunidad Valenciana;Contra la libertad e indemnidad sexuales;118
Comunidad Valenciana;De la omisión del deber de socorro;2
Comunidad Valenciana;Contra la intimidad, derecho a la propia imagen e inviolabil;8
Comunidad Valenciana;Contra el honor;6
Comunidad Valenciana;Contra las relaciones familiares;209
Comunidad Valenciana;Contra el patrimonio y el orden socioeconomico;4.916
Comunidad Valenciana;Contra la hacienda publica y la Seg.social;13
Comunidad Valenciana;Contra los derechos de los trabajadores;6
Comunidad Valenciana;Relativos a la ord. territorio y protección pat. y medio amb;8
Comunidad Valenciana;Contra la seguridad colectiva;3.173
Comunidad Valenciana;De las falsedades;183
Comunidad Valenciana;Contra la Administración Pública;11
Comunidad Valenciana;Contra la administración de justicia;245
Comunidad Valenciana;Contra la Constitución;57
Comunidad Valenciana;Contra el orden público;326
Comunidad Valenciana;delitos de traición y contra la paz o independencia;2
Comunidad Valenciana;Contra la comunidad internacional;0
Comunidad Valenciana;Concurso de delitos;883
Comunidad Valenciana;No consta;21
Extremadura;Total;1.777
Extremadura;Homicidio y formas;8
Extremadura;Del Aborto;0
Extremadura;De las lesiones;124
Extremadura;De las lesiones al feto;0
Extremadura;Relativos a la manipulación genetica;0
Extremadura;Contra la libertad;12
Extremadura;De las torturas y otros delitos contra la integirdad moral;0
Extremadura;Contra la libertad e indemnidad sexuales;24
Extremadura;De la omisión del deber de socorro;3
Extremadura;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Extremadura;Contra el honor;0
Extremadura;Contra las relaciones familiares;35
Extremadura;Contra el patrimonio y el orden socioeconomico;724
Extremadura;Contra la hacienda publica y la Seg.social;6
Extremadura;Contra los derechos de los trabajadores;0
Extremadura;Relativos a la ord. territorio y protección pat. y medio amb;5
Extremadura;Contra la seguridad colectiva;546
Extremadura;De las falsedades;43
Extremadura;Contra la Administración Pública;1
Extremadura;Contra la administración de justicia;79
Extremadura;Contra la Constitución;0
Extremadura;Contra el orden público;56
Extremadura;delitos de traición y contra la paz o independencia;0
Extremadura;Contra la comunidad internacional;0
Extremadura;Concurso de delitos;104
Extremadura;No consta;7
Galicia;Total;6.054
Galicia;Homicidio y formas;17
Galicia;Del Aborto;0
Galicia;De las lesiones;455
Galicia;De las lesiones al feto;0
Galicia;Relativos a la manipulación genetica;0
Galicia;Contra la libertad;54
Galicia;De las torturas y otros delitos contra la integirdad moral;2
Galicia;Contra la libertad e indemnidad sexuales;62
Galicia;De la omisión del deber de socorro;3
Galicia;Contra la intimidad, derecho a la propia imagen e inviolabil;4
Galicia;Contra el honor;6
Galicia;Contra las relaciones familiares;119
Galicia;Contra el patrimonio y el orden socioeconomico;1.949
Galicia;Contra la hacienda publica y la Seg.social;6
Galicia;Contra los derechos de los trabajadores;6
Galicia;Relativos a la ord. territorio y protección pat. y medio amb;5
Galicia;Contra la seguridad colectiva;2.251
Galicia;De las falsedades;115
Galicia;Contra la Administración Pública;9
Galicia;Contra la administración de justicia;187
Galicia;Contra la Constitución;21
Galicia;Contra el orden público;250
Galicia;delitos de traición y contra la paz o independencia;0
Galicia;Contra la comunidad internacional;0
Galicia;Concurso de delitos;521
Galicia;No consta;12
Madrid;Total;11.439
Madrid;Homicidio y formas;37
Madrid;Del Aborto;0
Madrid;De las lesiones;540
Madrid;De las lesiones al feto;2
Madrid;Relativos a la manipulación genetica;0
Madrid;Contra la libertad;36
Madrid;De las torturas y otros delitos contra la integirdad moral;2
Madrid;Contra la libertad e indemnidad sexuales;70
Madrid;De la omisión del deber de socorro;4
Madrid;Contra la intimidad, derecho a la propia imagen e inviolabil;9
Madrid;Contra el honor;3
Madrid;Contra las relaciones familiares;212
Madrid;Contra el patrimonio y el orden socioeconomico;4.754
