Comunidad autónoma;Tipo de delito;Total
Andalucía;Total;30.960
Andalucía;Homicidio y formas;116
Andalucía;Del Aborto;0
Andalucía;De las lesiones;4.743
Andalucía;De las lesiones al feto;0
Andalucía;Relativos a la manipulación genética;0
Andalucía;Contra la libertad;999
Andalucía;De las torturas y otros delitos contra la integirdad moral;561
Andalucía;Contra la libertad e indemnidad sexuales;274
Andalucía;De la omisión del deber de socorro;14
Andalucía;Contra la intimidad, derecho a la propia imagen e inviolabil;19
Andalucía;Contra el honor;19
Andalucía;Contra las relaciones familiares;594
Andalucía;Contra el patrimonio y el orden socioeconomico;7.902
Andalucía;Contra la hacienda publica y la Seg.social;50
Andalucía;Contra los derechos de los trabajadores;246
Andalucía;Relativos a la ord. territorio y protección pat. y medio amb;98
Andalucía;Contra la seguridad colectiva;8.871
Andalucía;De las falsedades;432
Andalucía;Contra la Administración Pública;21
Andalucía;Contra la administración de justicia;1.711
Andalucía;Contra la Constitución;2
Andalucía;Contra el orden público;1.702
Andalucía;delitos de traición y contra la paz o independencia;5
Andalucía;Contra la comunidad internacional;1
Andalucía;Concurso de delitos;2.580
Aragón;Total;3.072
Aragón;Homicidio y formas;20
Aragón;Del Aborto;0
Aragón;De las lesiones;598
Aragón;De las lesiones al feto;0
Aragón;Relativos a la manipulación genética;0
Aragón;Contra la libertad;99
Aragón;De las torturas y otros delitos contra la integirdad moral;51
Aragón;Contra la libertad e indemnidad sexuales;41
Aragón;De la omisión del deber de socorro;0
Aragón;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Aragón;Contra el honor;0
Aragón;Contra las relaciones familiares;78
Aragón;Contra el patrimonio y el orden socioeconomico;828
Aragón;Contra la hacienda publica y la Seg.social;13
Aragón;Contra los derechos de los trabajadores;13
Aragón;Relativos a la ord. territorio y protección pat. y medio amb;0
Aragón;Contra la seguridad colectiva;572
Aragón;De las falsedades;104
Aragón;Contra la Administración Pública;2
Aragón;Contra la administración de justicia;213
Aragón;Contra la Constitución;2
Aragón;Contra el orden público;182
Aragón;delitos de traición y contra la paz o independencia;0
Aragón;Contra la comunidad internacional;0
Aragón;Concurso de delitos;254
Asturias (Principado de);Total;3.833
Asturias (Principado de);Homicidio y formas;10
Asturias (Principado de);Del Aborto;0
Asturias (Principado de);De las lesiones;621
