Tipo de delito;Sexo del infractor;Lugar de condena;Total
Total;Total;Total;266.847
Total;Total;Andalucía;58.108
Total;Total;Aragón;6.894
Total;Total;Asturias (Principado de);5.364
Total;Total;Balears (Illes);8.302
Total;Total;Canarias;17.113
Total;Total;Cantabria;3.900
Total;Total;Castilla y León;9.074
Total;Total;Castilla-La Mancha;7.839
Total;Total;Cataluña;40.970
Total;Total;Comunitat Valenciana;30.612
Total;Total;Extremadura;4.488
Total;Total;Galicia;15.548
Total;Total;Madrid (Comunidad de)(1);28.630
Total;Total;Murcia (Región de);10.617
Total;Total;Navarra (Comunidad Foral de);3.683
Total;Total;País Vasco;10.861
Total;Total;Rioja (La);1.745
Total;Total;Ceuta;2.166
Total;Total;Melilla;933
Total;Varón;Total;245.131
Total;Varón;Andalucía;53.439
Total;Varón;Aragón;6.334
Total;Varón;Asturias (Principado de);4.908
Total;Varón;Balears (Illes);7.596
Total;Varón;Canarias;15.817
Total;Varón;Cantabria;3.589
Total;Varón;Castilla y León;8.385
Total;Varón;Castilla-La Mancha;7.329
Total;Varón;Cataluña;37.462
Total;Varón;Comunitat Valenciana;27.964
Total;Varón;Extremadura;4.150
Total;Varón;Galicia;14.486
Total;Varón;Madrid (Comunidad de)(1);26.020
Total;Varón;Murcia (Región de);9.848
Total;Varón;Navarra (Comunidad Foral de);3.382
Total;Varón;País Vasco;9.927
Total;Varón;Rioja (La);1.603
Total;Varón;Ceuta;2.031
Total;Varón;Melilla;861
Total;Mujer;Total;21.716
Total;Mujer;Andalucía;4.669
Total;Mujer;Aragón;560
Total;Mujer;Asturias (Principado de);456
Total;Mujer;Balears (Illes);706
Total;Mujer;Canarias;1.296
Total;Mujer;Cantabria;311
Total;Mujer;Castilla y León;689
Total;Mujer;Castilla-La Mancha;510
Total;Mujer;Cataluña;3.508
Total;Mujer;Comunitat Valenciana;2.648
Total;Mujer;Extremadura;338
Total;Mujer;Galicia;1.062
Total;Mujer;Madrid (Comunidad de)(1);2.610
Total;Mujer;Murcia (Región de);769
Total;Mujer;Navarra (Comunidad Foral de);301
Total;Mujer;País Vasco;934
Total;Mujer;Rioja (La);142
Total;Mujer;Ceuta;135
Total;Mujer;Melilla;72
1. Homicidio y sus formas;Total;Total;1.140
1. Homicidio y sus formas;Total;Andalucía;222
1. Homicidio y sus formas;Total;Aragón;24
1. Homicidio y sus formas;Total;Asturias (Principado de);15
1. Homicidio y sus formas;Total;Balears (Illes);29
1. Homicidio y sus formas;Total;Canarias;64
1. Homicidio y sus formas;Total;Cantabria;20
1. Homicidio y sus formas;Total;Castilla y León;44
1. Homicidio y sus formas;Total;Castilla-La Mancha;38
1. Homicidio y sus formas;Total;Cataluña;196
1. Homicidio y sus formas;Total;Comunitat Valenciana;124
1. Homicidio y sus formas;Total;Extremadura;8
1. Homicidio y sus formas;Total;Galicia;76
1. Homicidio y sus formas;Total;Madrid (Comunidad de)(1);178
1. Homicidio y sus formas;Total;Murcia (Región de);35
1. Homicidio y sus formas;Total;Navarra (Comunidad Foral de);18
1. Homicidio y sus formas;Total;País Vasco;33
1. Homicidio y sus formas;Total;Rioja (La);3
1. Homicidio y sus formas;Total;Ceuta;9
1. Homicidio y sus formas;Total;Melilla;4
1. Homicidio y sus formas;Varón;Total;1.051
1. Homicidio y sus formas;Varón;Andalucía;213
1. Homicidio y sus formas;Varón;Aragón;22
1. Homicidio y sus formas;Varón;Asturias (Principado de);13
1. Homicidio y sus formas;Varón;Balears (Illes);28
1. Homicidio y sus formas;Varón;Canarias;59
1. Homicidio y sus formas;Varón;Cantabria;17
1. Homicidio y sus formas;Varón;Castilla y León;38
1. Homicidio y sus formas;Varón;Castilla-La Mancha;34
1. Homicidio y sus formas;Varón;Cataluña;176
1. Homicidio y sus formas;Varón;Comunitat Valenciana;115
1. Homicidio y sus formas;Varón;Extremadura;6
1. Homicidio y sus formas;Varón;Galicia;73
1. Homicidio y sus formas;Varón;Madrid (Comunidad de)(1);161
1. Homicidio y sus formas;Varón;Murcia (Región de);35
1. Homicidio y sus formas;Varón;Navarra (Comunidad Foral de);16
1. Homicidio y sus formas;Varón;País Vasco;31
1. Homicidio y sus formas;Varón;Rioja (La);3
1. Homicidio y sus formas;Varón;Ceuta;8
1. Homicidio y sus formas;Varón;Melilla;3
1. Homicidio y sus formas;Mujer;Total;89
1. Homicidio y sus formas;Mujer;Andalucía;9
1. Homicidio y sus formas;Mujer;Aragón;2
1. Homicidio y sus formas;Mujer;Asturias (Principado de);2
1. Homicidio y sus formas;Mujer;Balears (Illes);1
1. Homicidio y sus formas;Mujer;Canarias;5
1. Homicidio y sus formas;Mujer;Cantabria;3
1. Homicidio y sus formas;Mujer;Castilla y León;6
1. Homicidio y sus formas;Mujer;Castilla-La Mancha;4
1. Homicidio y sus formas;Mujer;Cataluña;20
1. Homicidio y sus formas;Mujer;Comunitat Valenciana;9
1. Homicidio y sus formas;Mujer;Extremadura;2
1. Homicidio y sus formas;Mujer;Galicia;3
1. Homicidio y sus formas;Mujer;Madrid (Comunidad de)(1);17
1. Homicidio y sus formas;Mujer;Murcia (Región de);0
1. Homicidio y sus formas;Mujer;Navarra (Comunidad Foral de);2
1. Homicidio y sus formas;Mujer;País Vasco;2
1. Homicidio y sus formas;Mujer;Rioja (La);0
1. Homicidio y sus formas;Mujer;Ceuta;1
1. Homicidio y sus formas;Mujer;Melilla;1
2. Aborto;Total;Total;15
2. Aborto;Total;Andalucía;2
2. Aborto;Total;Aragón;0
2. Aborto;Total;Asturias (Principado de);0
2. Aborto;Total;Balears (Illes);0
2. Aborto;Total;Canarias;1
2. Aborto;Total;Cantabria;0
2. Aborto;Total;Castilla y León;0
