Lugar de condena;Tipo de Delito;Periodo;
Total Nacional;A Total Delitos;2019;412.571
Total Nacional;A Total Delitos;2018;406.327
Total Nacional;A Total Delitos;2017;394.301
Total Nacional;A Total Delitos;2016;365.202
Total Nacional;A Total Delitos;2015;288.756
Total Nacional;A Total Delitos;2014;277.956
Total Nacional;A Total Delitos;2013;275.196
Total Nacional;1 Homicidio y sus formas;2019;1.099
Total Nacional;1 Homicidio y sus formas;2018;1.087
Total Nacional;1 Homicidio y sus formas;2017;1.158
Total Nacional;1 Homicidio y sus formas;2016;1.252
Total Nacional;1 Homicidio y sus formas;2015;1.355
Total Nacional;1 Homicidio y sus formas;2014;1.295
Total Nacional;1 Homicidio y sus formas;2013;1.427
Total Nacional;1.1 Homicidio;2019;340
Total Nacional;1.1 Homicidio;2018;329
Total Nacional;1.1 Homicidio;2017;364
Total Nacional;1.1 Homicidio;2016;430
Total Nacional;1.1 Homicidio;2015;463
Total Nacional;1.1 Homicidio;2014;492
Total Nacional;1.1 Homicidio;2013;513
Total Nacional;1.2 Asesinato;2019;205
Total Nacional;1.2 Asesinato;2018;170
Total Nacional;1.2 Asesinato;2017;200
Total Nacional;1.2 Asesinato;2016;202
Total Nacional;1.2 Asesinato;2015;264
Total Nacional;1.2 Asesinato;2014;244
Total Nacional;1.2 Asesinato;2013;297
Total Nacional;1.3 Homicidio por imprudencia;2019;553
Total Nacional;1.3 Homicidio por imprudencia;2018;587
Total Nacional;1.3 Homicidio por imprudencia;2017;593
Total Nacional;1.3 Homicidio por imprudencia;2016;613
Total Nacional;1.3 Homicidio por imprudencia;2015;628
Total Nacional;1.3 Homicidio por imprudencia;2014;559
Total Nacional;1.3 Homicidio por imprudencia;2013;616
Total Nacional;1.4 Inducción al suicidio;2019;1
Total Nacional;1.4 Inducción al suicidio;2018;1
Total Nacional;1.4 Inducción al suicidio;2017;1
Total Nacional;1.4 Inducción al suicidio;2016;7
Total Nacional;1.4 Inducción al suicidio;2015;""
Total Nacional;1.4 Inducción al suicidio;2014;""
Total Nacional;1.4 Inducción al suicidio;2013;1
Total Nacional;3 Lesiones;2019;69.437
Total Nacional;3 Lesiones;2018;67.472
Total Nacional;3 Lesiones;2017;65.519
Total Nacional;3 Lesiones;2016;55.272
Total Nacional;3 Lesiones;2015;37.082
Total Nacional;3 Lesiones;2014;34.136
Total Nacional;3 Lesiones;2013;33.767
Total Nacional;6 Contra la libertad;2019;27.828
Total Nacional;6 Contra la libertad;2018;27.003
Total Nacional;6 Contra la libertad;2017;25.783
Total Nacional;6 Contra la libertad;2016;21.635
Total Nacional;6 Contra la libertad;2015;12.821
Total Nacional;6 Contra la libertad;2014;10.947
Total Nacional;6 Contra la libertad;2013;10.785
Total Nacional;6.2 Amenazas;2019;22.398
Total Nacional;6.2 Amenazas;2018;21.986
Total Nacional;6.2 Amenazas;2017;21.149
Total Nacional;6.2 Amenazas;2016;17.827
Total Nacional;6.2 Amenazas;2015;10.427
Total Nacional;6.2 Amenazas;2014;8.947
Total Nacional;6.2 Amenazas;2013;8.802
Total Nacional;6.9 Coacciones y detenciones ilegales;2019;5.430
Total Nacional;6.9 Coacciones y detenciones ilegales;2018;5.017
Total Nacional;6.9 Coacciones y detenciones ilegales;2017;4.634
Total Nacional;6.9 Coacciones y detenciones ilegales;2016;3.808
Total Nacional;6.9 Coacciones y detenciones ilegales;2015;2.394
Total Nacional;6.9 Coacciones y detenciones ilegales;2014;2.000
Total Nacional;6.9 Coacciones y detenciones ilegales;2013;1.983
Total Nacional;7 Torturas e integridad moral;2019;8.102
Total Nacional;7 Torturas e integridad moral;2018;7.819
Total Nacional;7 Torturas e integridad moral;2017;7.198
Total Nacional;7 Torturas e integridad moral;2016;6.247
Total Nacional;7 Torturas e integridad moral;2015;3.995
Total Nacional;7 Torturas e integridad moral;2014;2.545
Total Nacional;7 Torturas e integridad moral;2013;2.771
Total Nacional;7.1 Trato degradante y violencia;2019;8.014
Total Nacional;7.1 Trato degradante y violencia;2018;7.733
Total Nacional;7.1 Trato degradante y violencia;2017;7.156
Total Nacional;7.1 Trato degradante y violencia;2016;6.168
Total Nacional;7.1 Trato degradante y violencia;2015;3.921
Total Nacional;7.1 Trato degradante y violencia;2014;2.476
Total Nacional;7.1 Trato degradante y violencia;2013;2.718
Total Nacional;7.2 Tortura;2019;75
Total Nacional;7.2 Tortura;2018;77
Total Nacional;7.2 Tortura;2017;36
Total Nacional;7.2 Tortura;2016;76
Total Nacional;7.2 Tortura;2015;69
Total Nacional;7.2 Tortura;2014;68
Total Nacional;7.2 Tortura;2013;47
Total Nacional;7.3 Otros;2019;13
Total Nacional;7.3 Otros;2018;9
