Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
Total Nacional;Total;Total ;2019;286.931
Total Nacional;Total;Total ;2018;286.637
Total Nacional;Total;Total ;2017;285.336
Total Nacional;Total;Total ;2016;271.526
Total Nacional;Total;Total ;2015;222.862
Total Nacional;Total;Total ;2014;218.827
Total Nacional;Total;Total ;2013;219.776
Total Nacional;Total;De 18 a 20 años;2019;23.937
Total Nacional;Total;De 18 a 20 años;2018;24.683
Total Nacional;Total;De 18 a 20 años;2017;25.485
Total Nacional;Total;De 18 a 20 años;2016;23.945
Total Nacional;Total;De 18 a 20 años;2015;19.244
Total Nacional;Total;De 18 a 20 años;2014;18.543
Total Nacional;Total;De 18 a 20 años;2013;18.508
Total Nacional;Total;De 21 a 25 años;2019;39.262
Total Nacional;Total;De 21 a 25 años;2018;40.274
Total Nacional;Total;De 21 a 25 años;2017;40.823
Total Nacional;Total;De 21 a 25 años;2016;39.862
Total Nacional;Total;De 21 a 25 años;2015;33.504
Total Nacional;Total;De 21 a 25 años;2014;33.619
Total Nacional;Total;De 21 a 25 años;2013;34.000
Total Nacional;Total;De 26 a 30 años;2019;39.248
Total Nacional;Total;De 26 a 30 años;2018;39.776
Total Nacional;Total;De 26 a 30 años;2017;40.099
Total Nacional;Total;De 26 a 30 años;2016;39.491
Total Nacional;Total;De 26 a 30 años;2015;33.315
Total Nacional;Total;De 26 a 30 años;2014;33.519
Total Nacional;Total;De 26 a 30 años;2013;34.711
Total Nacional;Total;De 31 a 35 años;2019;39.468
Total Nacional;Total;De 31 a 35 años;2018;40.414
Total Nacional;Total;De 31 a 35 años;2017;40.492
Total Nacional;Total;De 31 a 35 años;2016;39.552
Total Nacional;Total;De 31 a 35 años;2015;33.901
Total Nacional;Total;De 31 a 35 años;2014;34.607
Total Nacional;Total;De 31 a 35 años;2013;35.031
Total Nacional;Total;De 36 a 40 años;2019;39.854
Total Nacional;Total;De 36 a 40 años;2018;39.877
Total Nacional;Total;De 36 a 40 años;2017;39.678
Total Nacional;Total;De 36 a 40 años;2016;37.472
Total Nacional;Total;De 36 a 40 años;2015;31.618
Total Nacional;Total;De 36 a 40 años;2014;30.756
Total Nacional;Total;De 36 a 40 años;2013;30.830
Total Nacional;Total;De 41 a 50 años;2019;61.359
Total Nacional;Total;De 41 a 50 años;2018;60.386
Total Nacional;Total;De 41 a 50 años;2017;58.749
Total Nacional;Total;De 41 a 50 años;2016;55.459
Total Nacional;Total;De 41 a 50 años;2015;44.908
Total Nacional;Total;De 41 a 50 años;2014;43.427
Total Nacional;Total;De 41 a 50 años;2013;43.147
Total Nacional;Total;De 51 a 60 años;2019;30.100
Total Nacional;Total;De 51 a 60 años;2018;28.531
Total Nacional;Total;De 51 a 60 años;2017;27.609
Total Nacional;Total;De 51 a 60 años;2016;24.948
Total Nacional;Total;De 51 a 60 años;2015;19.089
Total Nacional;Total;De 51 a 60 años;2014;17.866
Total Nacional;Total;De 51 a 60 años;2013;17.254
Total Nacional;Total;De 61 a 70 años;2019;10.365
Total Nacional;Total;De 61 a 70 años;2018;9.546
Total Nacional;Total;De 61 a 70 años;2017;9.371
Total Nacional;Total;De 61 a 70 años;2016;8.178
Total Nacional;Total;De 61 a 70 años;2015;5.737
Total Nacional;Total;De 61 a 70 años;2014;5.162
Total Nacional;Total;De 61 a 70 años;2013;5.025
Total Nacional;Total;71 y más años;2019;3.338
Total Nacional;Total;71 y más años;2018;3.150
Total Nacional;Total;71 y más años;2017;3.030
Total Nacional;Total;71 y más años;2016;2.619
Total Nacional;Total;71 y más años;2015;1.546
Total Nacional;Total;71 y más años;2014;1.328
Total Nacional;Total;71 y más años;2013;1.270
Total Nacional;Hombres;Total ;2019;227.722
Total Nacional;Hombres;Total ;2018;227.211
Total Nacional;Hombres;Total ;2017;225.753
Total Nacional;Hombres;Total ;2016;219.280
Total Nacional;Hombres;Total ;2015;190.876
Total Nacional;Hombres;Total ;2014;191.608
Total Nacional;Hombres;Total ;2013;194.596
Total Nacional;Hombres;De 18 a 20 años;2019;18.591
Total Nacional;Hombres;De 18 a 20 años;2018;19.024
Total Nacional;Hombres;De 18 a 20 años;2017;19.367
Total Nacional;Hombres;De 18 a 20 años;2016;18.851
Total Nacional;Hombres;De 18 a 20 años;2015;16.443
Total Nacional;Hombres;De 18 a 20 años;2014;16.190
Total Nacional;Hombres;De 18 a 20 años;2013;16.278
Total Nacional;Hombres;De 21 a 25 años;2019;30.844
Total Nacional;Hombres;De 21 a 25 años;2018;31.446
Total Nacional;Hombres;De 21 a 25 años;2017;31.687
Total Nacional;Hombres;De 21 a 25 años;2016;31.535
Total Nacional;Hombres;De 21 a 25 años;2015;28.261
Total Nacional;Hombres;De 21 a 25 años;2014;28.957
Total Nacional;Hombres;De 21 a 25 años;2013;29.699
Total Nacional;Hombres;De 26 a 30 años;2019;30.975
Total Nacional;Hombres;De 26 a 30 años;2018;31.208
Total Nacional;Hombres;De 26 a 30 años;2017;31.483
Total Nacional;Hombres;De 26 a 30 años;2016;31.664
Total Nacional;Hombres;De 26 a 30 años;2015;28.188
Total Nacional;Hombres;De 26 a 30 años;2014;29.006
Total Nacional;Hombres;De 26 a 30 años;2013;30.491
Total Nacional;Hombres;De 31 a 35 años;2019;31.435
Total Nacional;Hombres;De 31 a 35 años;2018;32.054
Total Nacional;Hombres;De 31 a 35 años;2017;32.216
Total Nacional;Hombres;De 31 a 35 años;2016;31.976
Total Nacional;Hombres;De 31 a 35 años;2015;28.970
Total Nacional;Hombres;De 31 a 35 años;2014;30.215
Total Nacional;Hombres;De 31 a 35 años;2013;30.934
Total Nacional;Hombres;De 36 a 40 años;2019;31.795
Total Nacional;Hombres;De 36 a 40 años;2018;31.843
Total Nacional;Hombres;De 36 a 40 años;2017;31.756
Total Nacional;Hombres;De 36 a 40 años;2016;30.643
Total Nacional;Hombres;De 36 a 40 años;2015;27.198
Total Nacional;Hombres;De 36 a 40 años;2014;26.913
Total Nacional;Hombres;De 36 a 40 años;2013;27.282
Total Nacional;Hombres;De 41 a 50 años;2019;49.354
Total Nacional;Hombres;De 41 a 50 años;2018;48.636
Total Nacional;Hombres;De 41 a 50 años;2017;47.408
Total Nacional;Hombres;De 41 a 50 años;2016;45.557
Total Nacional;Hombres;De 41 a 50 años;2015;38.730
Total Nacional;Hombres;De 41 a 50 años;2014;38.432
Total Nacional;Hombres;De 41 a 50 años;2013;38.464
Total Nacional;Hombres;De 51 a 60 años;2019;24.100
Total Nacional;Hombres;De 51 a 60 años;2018;23.044
Total Nacional;Hombres;De 51 a 60 años;2017;22.182
Total Nacional;Hombres;De 51 a 60 años;2016;20.403
Total Nacional;Hombres;De 51 a 60 años;2015;16.689
Total Nacional;Hombres;De 51 a 60 años;2014;16.033
Total Nacional;Hombres;De 51 a 60 años;2013;15.684
Total Nacional;Hombres;De 61 a 70 años;2019;8.068
Total Nacional;Hombres;De 61 a 70 años;2018;7.528
Total Nacional;Hombres;De 61 a 70 años;2017;7.334
Total Nacional;Hombres;De 61 a 70 años;2016;6.580
Total Nacional;Hombres;De 61 a 70 años;2015;5.054
Total Nacional;Hombres;De 61 a 70 años;2014;4.655
Total Nacional;Hombres;De 61 a 70 años;2013;4.608
Total Nacional;Hombres;71 y más años;2019;2.560
